CLIENTE_ID,CLIENTE_NOME,CLIENTE_CEP,CLIENTE_CIDADE,CLIENTE_ESTADO
70,Davi Oliveira,65849-706,Ramos da Prata,Santa Catarina
71,Yuri Cardoso,50475-103,Pinto,Santa Catarina
72,Ana Laura Cardoso,73437092,da Cunha,Pará
73,Maria Eduarda da Mata,86511-323,Moura do Norte,Roraima
74,André Melo,57549251,Araújo,Distrito Federal
75,João Miguel das Neves,40926-380,da Paz Verde,Rio de Janeiro
76,Ana Beatriz Silveira,12708350,Cavalcanti de Duarte,Santa Catarina
77,Murilo Araújo,90965-786,Teixeira da Prata,Piauí
78,Sr. Samuel Duarte,57292-483,Duarte de Teixeira,Rio Grande do Norte
79,Sr. Rodrigo Rocha,83705-044,Jesus,Goiás
80,Dra. Ana das Neves,52300-969,Moura,Amapá
81,Helena Nogueira,85373-478,Teixeira,Amazonas
82,Valentina Barros,45238870,Mendes,Mato Grosso
83,Sr. Diego Cavalcanti,70986913,Rodrigues da Praia,Paraíba
84,Carolina Barros,48244357,Dias,Rio Grande do Norte
85,Maria Luiza da Paz,94724294,Viana,Maranhão
86,Amanda Pinto,09819176,Cardoso das Pedras,Rondônia
87,Raul Ribeiro,13614429,Peixoto,Tocantins
88,Luiz Gustavo Pinto,21333-542,Santos da Serra,Rio Grande do Norte
89,Ana Luiza Melo,57876-280,Correia,Amazonas
90,Vicente Cardoso,93218987,Cunha,Tocantins
91,Sr. João Vieira,67790-063,Cardoso da Serra,Pará
92,Manuela da Cruz,44656012,Mendes da Mata,Ceará
93,João Guilherme Pereira,80373-177,Nogueira,Pará
94,Srta. Emilly Barros,70687481,Rocha,Santa Catarina
95,Laura Souza,88516550,Caldeira,Pará
96,Sra. Maria Eduarda Araújo,57134-665,Moreira,Maranhão
97,Sr. Henrique Nascimento,02182-152,Cardoso,Pernambuco
98,Francisco da Cunha,72935288,da Luz da Prata,Bahia
99,Dr. Yago Silva,57062379,da Rocha de Teixeira,Amapá
100,Sr. Levi Barbosa,65614555,Rezende de Martins,Rio de Janeiro
101,Luiz Otávio da Cruz,35783-046,Gonçalves da Praia,Espírito Santo
102,Levi Ferreira,68029653,Peixoto,Pernambuco
103,Srta. Ana Carolina Pires,12430-345,Porto,Minas Gerais
104,Bruno da Rosa,41266108,da Costa de Costela,Distrito Federal
105,Dra. Rebeca Azevedo,58327-877,Moraes,Bahia
106,Vinicius Cunha,48729-370,Sales dos Dourados,Piauí
107,Thomas Caldeira,24824209,Moura Paulista,Ceará
108,Ian Melo,27750-147,da Luz de Goiás,Roraima
109,Fernando Moreira,46066-859,Sales da Mata,Rio Grande do Norte
110,Letícia Gomes,62955153,Novaes,Rio de Janeiro
111,Rafael Fernandes,60736-596,Moura de Lima,Paraíba
112,Igor Viana,94914-351,Carvalho do Norte,Mato Grosso do Sul
113,Maria Alice da Conceição,93211257,Martins,Roraima
114,Otávio Cardoso,49805-908,Vieira dos Dourados,Ceará
115,Ana Porto,23696-135,Cardoso do Oeste,Santa Catarina
116,Carolina Duarte,86493-596,Lopes,Ceará
117,Lívia Barros,66793-821,Fogaça das Flores,Rio de Janeiro
118,Natália Melo,87786-094,Pinto,Santa Catarina
119,Bruna Rodrigues,24224-786,Correia,Santa Catarina
120,Heitor Farias,60490-606,Teixeira,Bahia
121,Raquel Monteiro,68882418,Farias de Goiás,Goiás
122,Sofia Ramos,00795979,da Cruz,Espírito Santo
123,Samuel da Paz,21443-635,Rocha,Rondônia
124,Leandro Lopes,44084-949,Correia de Duarte,Pará
125,Alice Nascimento,58726231,Cardoso de Minas,Paraná
126,Augusto Barbosa,44115-332,Rocha,Ceará
127,Emanuella Fogaça,14365-534,Rodrigues,Mato Grosso
128,Dra. Mariana Campos,88362-748,Ramos,Goiás
129,Sarah Ferreira,23660007,Porto de Goiás,Ceará
130,Marina Castro,44969-391,da Mota de Minas,Roraima
131,Dr. João Gabriel da Cruz,84967407,Campos,Santa Catarina
132,João Gabriel Carvalho,69703614,Costela de Campos,São Paulo
133,Felipe Silva,54541771,Duarte da Prata,Bahia
134,Melissa Jesus,34180-389,Fogaça de Lopes,Tocantins
135,Emilly da Cruz,65108420,Cardoso,Rio Grande do Sul
136,Samuel Moreira,08273-832,da Cruz,Pernambuco
137,Helena Vieira,81385-790,Silva,Minas Gerais
138,Lucca da Mata,25638531,Novaes de Minas,Goiás
139,Letícia Moraes,60499-636,da Rocha,Sergipe
140,João Lucas da Mata,66019264,da Paz do Norte,Minas Gerais
141,Dr. Bernardo Teixeira,26655492,Monteiro,Rondônia
142,Luiz Henrique Gomes,10587700,Monteiro,Acre
143,Clarice Ribeiro,60834735,Campos,Paraná
144,Ana Júlia Gonçalves,08177449,da Rosa,Mato Grosso
145,Thomas Martins,38390564,Alves,Mato Grosso
146,Valentina Dias,55015-889,Viana das Pedras,Paraíba
147,Dra. Ana Julia Martins,98441805,Monteiro de Freitas,Paraíba
148,Dr. Heitor da Luz,48532-065,Vieira Verde,Acre
149,Agatha Freitas,58316236,Gonçalves,Amazonas
150,Bárbara Rocha,46839733,Duarte,Distrito Federal
151,João Araújo,15122-951,Fernandes,Alagoas
152,Maria Clara Viana,20350-824,Moura,Mato Grosso
153,Lucca Mendes,78053632,Teixeira de Jesus,Maranhão
154,Cauã Alves,64134-172,Cavalcanti,Tocantins
155,Dr. Nicolas Oliveira,15109-287,da Mota,Tocantins
156,Kamilly Carvalho,11033626,Cardoso Alegre,Espírito Santo
157,Davi Luiz Correia,27708-110,Gomes de Correia,Amapá
158,Alexia Novaes,02169-762,Peixoto,Distrito Federal
159,Pedro Henrique Nunes,21114114,Vieira de Monteiro,Paraíba
160,Davi Lucca Costa,58561547,Barbosa da Prata,Pará
161,Sr. Thales Cunha,39176381,Lopes,Rondônia
162,Leandro Oliveira,64740-615,Rocha,Rio Grande do Sul
163,Ana Carolina da Mota,71414-537,Pereira,Ceará
164,Leandro Fernandes,31280-761,Pinto de Goiás,Rondônia
165,Yago da Rosa,50677-036,Barros da Prata,Bahia
166,Theo Farias,45514-313,Almeida,Amazonas
167,Bryan Silveira,91172-323,Dias,Tocantins
168,Sabrina Cunha,79558-273,Gonçalves Verde,Sergipe
169,Luiz Felipe Mendes,87578-396,Nunes,Sergipe
170,Lucas Gabriel Rocha,08145466,da Luz da Mata,Pará
171,João Guilherme Campos,85353236,Porto,Maranhão
172,Maria Cecília Costela,76281205,Farias,Tocantins
173,Fernando Carvalho,68995-846,Lima Alegre,Minas Gerais
174,Srta. Maysa Nunes,12632499,da Cunha,Acre
175,Joana Novaes,65730052,Costela de Mendes,Maranhão
176,Emilly Jesus,70543757,Barbosa da Mata,Maranhão
177,Bryan Castro,19677-592,Araújo,Pernambuco
178,Guilherme Moraes,78364274,Gonçalves de Monteiro,Bahia
179,Heloísa Novaes,90390956,Castro,Maranhão
180,Srta. Bianca da Rocha,93698798,da Luz,Sergipe
181,João Vitor Souza,82263384,Nogueira,Santa Catarina
182,João Lucas Lima,81861-019,Oliveira,São Paulo
183,Srta. Esther Nunes,42359936,Ramos do Norte,Piauí
184,Sr. Augusto Nogueira,32839848,Alves de Minas,Paraíba
185,Luiz Otávio Gonçalves,75718018,Pires,Roraima
186,Bárbara Gomes,34172996,Souza Paulista,Maranhão
187,Marina Nogueira,58923-829,Moraes,Rio Grande do Sul
188,Letícia Moraes,11583164,Farias da Praia,Minas Gerais
189,Renan Freitas,89769-896,Cavalcanti Alegre,Minas Gerais
190,Maria Vitória Silva,04760-197,Dias do Sul,Rio Grande do Norte
191,Gabriel Fogaça,10280-168,Melo,Pernambuco
192,Ana Laura Ferreira,46256-975,Silva Verde,Pernambuco
193,Luiz Miguel Pinto,71633519,Barros Grande,Rio de Janeiro
194,Dr. Enzo Rocha,88332206,Peixoto da Prata,Tocantins
195,Ana Vitória Cardoso,79329097,Nunes das Flores,Rondônia
196,Luiz Henrique Novaes,19418292,Novaes do Sul,Ceará
197,João Lucas Caldeira,76793-099,Mendes,Espírito Santo
198,Sr. Rodrigo Costela,09260536,Peixoto,Ceará
199,Pedro Lucas Monteiro,72017211,Duarte,Ceará
200,Caroline da Rosa,78356972,Dias Grande,Sergipe
201,Eloah Silva,63443-517,Gomes,Paraná
202,Sarah Teixeira,61816207,Ribeiro do Amparo,São Paulo
203,Erick Vieira,26681-882,Monteiro de da Rosa,Alagoas
204,Caroline Lima,57163-989,Vieira,Paraíba
205,Pedro Moreira,80723442,Carvalho do Oeste,Acre
206,Kaique Gonçalves,20668913,da Conceição de Ribeiro,Pará
207,Breno Campos,43787-315,da Costa,Rio de Janeiro
208,Isabelly Ramos,06991-850,da Mata do Sul,Minas Gerais
209,Julia Aragão,31651-014,Mendes de da Rocha,Roraima
210,Dra. Heloísa Monteiro,52388050,Moraes,Rio Grande do Sul
211,Thiago Campos,34672-219,Lopes dos Dourados,Paraíba
212,Nathan Pinto,93358341,Campos de Fogaça,Pará
213,Leonardo Pinto,97546-601,Caldeira Paulista,Piauí
214,Alice Ferreira,09627397,da Luz,Pará
215,Calebe Fernandes,55133-082,Aragão,Amazonas
216,João Pedro Moreira,00403091,Sales das Flores,Sergipe
217,André Pires,90123946,Pereira,Pará
218,Emanuelly Castro,25996530,Cavalcanti,Paraná
219,Daniel Martins,51387638,Dias de Rodrigues,Rondônia
220,Dr. Pedro Henrique Souza,91138-290,Jesus do Norte,Ceará
221,Maria Julia Sales,43368-918,Jesus de Rocha,Rondônia
222,Luiz Henrique da Paz,75409-626,Barbosa,Mato Grosso do Sul
223,Kevin Gomes,01879315,Ferreira Grande,Tocantins
224,Dr. Leonardo Porto,67228-838,Pires,Bahia
225,Sra. Eduarda Ramos,46413514,Correia,Alagoas
226,Emanuella Cavalcanti,66662-430,Cavalcanti da Serra,Mato Grosso
227,Camila Fogaça,02906-566,da Mata,Minas Gerais
228,Sofia Barbosa,37454525,da Paz do Norte,Goiás
229,Olivia Araújo,12731-031,Pinto do Oeste,Goiás
230,Sr. Ryan Lopes,26446-710,Moreira,Espírito Santo
231,Noah Castro,45485-998,das Neves de Campos,Goiás
232,Dr. Rafael Campos,29923-747,Jesus,Rio Grande do Sul
233,Kamilly Duarte,16217644,da Luz das Pedras,Piauí
234,Marina da Cunha,56081615,Moraes,Distrito Federal
235,Davi Lucca Castro,06211-435,Santos,Espírito Santo
236,Sra. Ana Carolina Viana,10586343,Farias,Tocantins
237,Sabrina Farias,09434385,Pinto,Piauí
238,Alana da Rosa,91639-926,Teixeira de Minas,Ceará
239,Emanuel da Paz,93563-073,Fernandes de Oliveira,Paraná
240,Dra. Sophia da Conceição,63582-166,Melo,Pernambuco
241,Laís Oliveira,98437877,Nascimento de Goiás,Rio Grande do Norte
242,Joana das Neves,90798148,Silveira do Norte,Piauí
243,Rafaela da Rosa,17070988,Fernandes,Paraíba
244,Maria Alice Martins,95362089,Martins,Tocantins
245,Isabelly Oliveira,26020908,da Cruz dos Dourados,Bahia
246,Ana Sophia Rocha,37326300,Dias,Paraná
247,João Pedro da Cruz,41919059,Gonçalves,Bahia
248,Sra. Maria Luiza Nunes,24323-035,da Rosa da Serra,Santa Catarina
249,Breno Viana,15897669,Moreira do Amparo,Pará
250,Juan Freitas,36470-878,Pereira das Pedras,Maranhão
251,Clarice Mendes,13510-242,Pinto,Pará
252,Sra. Isabelly Fernandes,46154-278,Campos de Minas,Bahia
253,Murilo Farias,67460-094,Alves,Paraná
254,Guilherme Cunha,52590437,Moreira de Araújo,Rondônia
255,Maria Clara Lima,97479412,Vieira,São Paulo
256,Sra. Maria Eduarda Peixoto,50057-991,Lopes,Pará
257,Kamilly Souza,44238-212,Santos,Santa Catarina
258,Erick Rodrigues,22394-603,Rezende,Rondônia
259,Dra. Catarina Moura,46179344,Fogaça do Norte,Santa Catarina
260,Henrique da Mata,08736-440,Pinto de da Cunha,Rio Grande do Sul
261,Henrique Carvalho,76105365,Pereira das Flores,Rondônia
262,Sr. Luiz Fernando Fogaça,66783127,Caldeira,Piauí
263,Carlos Eduardo da Cunha,14556694,Martins,São Paulo
264,Vitor Sales,60776-134,da Rosa Paulista,Paraná
265,Dr. Erick da Conceição,41119404,Pinto,São Paulo
266,Carolina Costela,65623976,Silva,Tocantins
267,Emilly Moraes,56014-448,Rocha das Pedras,Alagoas
268,Carlos Eduardo Caldeira,61305637,Pinto de Goiás,Maranhão
269,Dra. Cecília Freitas,35262-981,da Luz de Teixeira,Paraíba
270,Vitor Rocha,02062-995,Pires,Piauí
271,Brenda Peixoto,89096-839,Moreira do Campo,São Paulo
272,Rafaela Lima,47704196,da Costa da Praia,Piauí
273,Theo Santos,00155-620,Moreira,Pará
274,Dr. Luiz Fernando Azevedo,20301-488,Ferreira das Flores,Pará
275,Maria Luiza Cunha,42204919,da Luz de Goiás,Goiás
276,Ana Clara Melo,65369308,Sales,Amazonas
277,Guilherme Souza,31152719,Nogueira Grande,Amapá
278,Rebeca Pereira,37016584,Monteiro de Teixeira,Rio Grande do Sul
279,Thomas Lopes,48610094,Jesus de Teixeira,Pernambuco
280,João Miguel Rocha,76667-706,Oliveira,Rondônia
281,Emanuella Porto,12790-011,Barros das Pedras,Pernambuco
282,Danilo Ribeiro,48685000,Porto do Oeste,Minas Gerais
283,Kevin Costela,11260-339,Nascimento das Pedras,Espírito Santo
284,Sr. Pedro Lucas Santos,73770-300,Alves,Acre
285,Thomas Mendes,01436-929,da Cunha das Flores,Maranhão
286,Renan Farias,35849-764,Silva,Bahia
287,Vitor Costela,57529242,Nascimento Alegre,Roraima
288,Murilo Barros,90987-475,Lima,Mato Grosso
289,Lara Mendes,64168967,Silva,Mato Grosso
290,Sra. Heloísa Correia,30243-755,Moreira do Sul,Mato Grosso do Sul
291,Anthony Ramos,62823565,Santos,Pernambuco
292,Ryan Costela,34375-706,da Mata,Rio Grande do Sul
293,Igor Martins,82517-333,Novaes de Jesus,Rio de Janeiro
294,Rafael Rezende,42120429,da Conceição,Amazonas
295,Ryan Rodrigues,46713-996,Peixoto da Prata,Minas Gerais
296,Raul Novaes,39042532,Peixoto da Praia,Santa Catarina
297,Larissa Silva,64684337,da Conceição,Mato Grosso do Sul
298,Sr. Marcelo Melo,21457306,da Cunha do Galho,Tocantins
299,Yago Dias,90405-181,Nascimento Alegre,Mato Grosso do Sul
300,João Vitor Pinto,83353125,Pereira da Mata,Ceará
301,Ana Beatriz Martins,57377093,Nunes Paulista,Paraíba
302,Stephany Oliveira,40104337,Cavalcanti,Mato Grosso do Sul
303,Francisco Santos,22290859,Melo,Amapá
304,Davi Luiz Freitas,77179960,Novaes,Pernambuco
305,Thomas da Mata,62646758,Castro,Amazonas
306,Miguel Pires,80466809,Nascimento da Serra,Distrito Federal
307,Maria Clara Fogaça,69169-863,Almeida,Amapá
308,Sophia Cardoso,69505-784,Monteiro,Distrito Federal
309,Enzo Teixeira,27945-644,Melo,Sergipe
310,Nicolas Barbosa,17776507,Caldeira,Piauí
311,Caroline Moreira,17106-690,Carvalho do Oeste,Mato Grosso
312,Heloísa Nascimento,87151862,Souza,Alagoas
313,Leandro Ferreira,39711-690,da Mota de Araújo,Espírito Santo
314,João Miguel Nascimento,21335348,Vieira,Rio Grande do Norte
315,Nicolas Lima,11008-230,Nunes,Sergipe
316,Srta. Joana Martins,74713-850,da Rocha do Norte,Distrito Federal
317,Luiz Gustavo Sales,71217-277,Cunha,Rio Grande do Norte
318,Helena Jesus,26368521,Cavalcanti de Mendes,Paraíba
319,Esther Cunha,33952-692,Lopes de Santos,Alagoas
320,Samuel da Mata,50755-915,Pinto,Santa Catarina
321,Davi Lucas Oliveira,18752-487,das Neves,Amazonas
322,Vitor Hugo Correia,46802951,Sales,Paraíba
323,Erick Pinto,00789-567,Cunha do Norte,Piauí
324,Elisa Caldeira,36690234,Moreira Paulista,Mato Grosso do Sul
325,Eloah da Luz,28138084,Oliveira,Maranhão
326,Marcelo Porto,19061-144,da Rocha da Mata,Piauí
327,Heloísa Vieira,93402-635,Castro do Galho,Amazonas
328,Ana Carolina Vieira,00211745,Rodrigues,Ceará
329,Manuela da Mota,05449394,Nogueira,Santa Catarina
330,Agatha Nunes,24655233,Moraes de Correia,Pará
331,Maria Costa,94741415,Nascimento,São Paulo
332,Ian da Costa,12060-420,Dias,Santa Catarina
333,Emilly Cardoso,01666-344,Jesus,Pernambuco
334,Ana da Mata,26167-517,Teixeira da Prata,Distrito Federal
335,Alana Freitas,86461892,da Luz,Acre
336,Eduarda Teixeira,70979230,Pinto,Pará
337,Augusto Oliveira,87397440,Viana,Minas Gerais
338,Alice Fernandes,57936-495,Fernandes,Espírito Santo
339,Guilherme da Rocha,18280602,Pereira Paulista,Paraíba
340,Luana Jesus,73768-536,Ferreira,Goiás
341,Ana Luiza da Cunha,48227656,Oliveira,Rio Grande do Sul
342,Bruno Cardoso,27405-675,Silveira,Rondônia
343,Melissa Nunes,86522-332,da Conceição,Espírito Santo
344,Dr. João Pedro Rezende,14392-454,Rocha da Prata,Alagoas
345,Nathan Pinto,28219-814,Alves,Sergipe
346,Stella Barros,70625286,Cardoso,Roraima
347,Alexia Duarte,08523068,Monteiro,São Paulo
348,Diego Almeida,42358-118,Duarte,Rio Grande do Sul
349,Sr. Isaac Barros,02722746,Carvalho,Acre
350,Julia da Paz,68357667,Peixoto do Amparo,Bahia
351,Dr. Cauã Costa,47085-113,da Mota,Minas Gerais
352,Clarice Martins,00393-096,Rezende,Goiás
353,Juliana Castro,51996475,Caldeira,Santa Catarina
354,Diogo Gomes,39077852,Cunha,Roraima
355,Melissa Gonçalves,24725-918,Barbosa,Acre
356,Isabella Costa,02759-486,Costa de Pires,Amazonas
357,Sarah Lopes,12242702,Lima,Mato Grosso
358,Bárbara Fogaça,83682-038,Lopes,Amazonas
359,Luna Silveira,13392494,Sales,Maranhão
360,Melissa da Costa,05353-260,Monteiro Alegre,Rio de Janeiro
361,Dr. Igor Castro,34730534,da Cunha,Mato Grosso do Sul
362,Maria Julia Nunes,06673-375,Rocha de Souza,Pernambuco
363,Rebeca Cardoso,00035-519,Viana,Minas Gerais
364,Diogo Gomes,40449046,Moura,Rio Grande do Norte
365,Bernardo Azevedo,17418686,Ramos,Rio de Janeiro
366,Maria Vitória Pires,81031043,Santos de Vieira,Roraima
367,Lorenzo Moura,13466039,Moreira,Acre
368,Alana Moura,11566-028,das Neves,Rio Grande do Norte
369,Luigi Moura,13940228,Cardoso do Campo,Pará
370,Helena Caldeira,37531-413,Melo,Bahia
371,Luana Silva,67363-370,Carvalho do Oeste,Paraná
372,Isabelly Silveira,86284-735,Castro,Roraima
373,Joana Farias,30206-091,Sales,Paraíba
374,Maria Castro,36626811,Ferreira de da Rocha,Paraná
375,Leonardo Moreira,62144-465,Aragão,Rio Grande do Norte
376,Thomas Peixoto,13287946,Costela de Minas,Mato Grosso do Sul
377,Laís Porto,05426902,Gomes,Amapá
378,Fernando Pires,64959-262,Cunha do Galho,Distrito Federal
379,Dra. Clarice da Luz,80975076,Pereira,São Paulo
380,Ana Laura Nogueira,08511-608,Teixeira,Bahia
381,Lara da Cruz,12998838,Castro do Amparo,Amapá
382,Maria Luiza Nascimento,17662-949,Alves,Espírito Santo
383,Sr. Henrique da Luz,83508-333,Campos Grande,Minas Gerais
384,Giovanna Caldeira,53553082,Caldeira Verde,Pernambuco
385,Maria Luiza Ramos,31204-195,Freitas Grande,Piauí
386,Maria Julia da Luz,83259436,da Costa,Acre
387,Valentina Caldeira,75489276,Monteiro,Paraíba
388,Pietra Cavalcanti,12009-174,Nascimento do Oeste,Pará
389,Pedro Miguel Costela,14749232,Castro,Rio de Janeiro
390,Fernanda Pinto,62924398,Ribeiro,Espírito Santo
391,Dra. Maria Moraes,08202-413,Rodrigues,Roraima
392,João Vitor Azevedo,45383-547,Cardoso do Sul,Piauí
393,Sophie Ribeiro,14634-200,Duarte do Galho,Ceará
394,Heloísa Costela,12334-180,Cardoso,Paraíba
395,João Miguel Costela,44614-006,Fernandes de Martins,Roraima
396,Dr. Pedro Cardoso,79564250,Castro de Costa,Amapá
397,Dra. Amanda Freitas,20016-001,Caldeira de Minas,Amapá
398,Samuel Pereira,50911440,Silveira Alegre,Sergipe
399,Raul Araújo,43222066,Souza das Flores,Piauí
400,Lavínia Nascimento,62200705,Rocha de Nascimento,Piauí
401,Ana Rocha,04419792,Almeida de Minas,Bahia
402,Daniel Viana,61031859,Cardoso do Oeste,Amapá
403,Sra. Luna Melo,96810-731,Pinto da Praia,Pernambuco
404,Davi Vieira,91306-039,Lopes,Tocantins
405,Davi Lucas Costa,45556-907,Ferreira,Acre
406,Srta. Elisa Nunes,81114596,da Conceição,Paraná
407,Luiz Felipe da Luz,59671-978,Carvalho do Galho,Pará
408,Vitor Ribeiro,53230178,Pires,Ceará
409,Dr. Henrique da Rosa,16622618,da Mota,Santa Catarina
410,Juan da Cunha,60081719,Cardoso,Roraima
411,Thales Lopes,60722620,Porto do Galho,Paraná
412,Guilherme Moreira,34110281,Pires,Rio de Janeiro
413,Benício Moreira,82774-275,Gomes de Vieira,Rio Grande do Norte
414,Diogo da Mota,94861-465,Rezende,Minas Gerais
415,Dra. Juliana Carvalho,48082834,Farias,Rio Grande do Norte
416,Marcos Vinicius Duarte,54721226,Araújo da Mata,Rondônia
417,Dr. Theo Viana,62531-396,Duarte,Paraíba
418,Caio Araújo,55735681,Caldeira,Pará
419,Maria Clara Vieira,16245-527,Novaes,São Paulo
420,Maria Clara Carvalho,83641279,Souza,Goiás
421,Kevin da Rosa,09199566,Freitas do Campo,Piauí
422,Larissa Cardoso,47271269,Mendes,Alagoas
423,Valentina Rocha,60112-161,Caldeira,Distrito Federal
424,Helena Rocha,54812-167,Monteiro da Serra,Acre
425,Bruno Costa,14424990,da Conceição,Mato Grosso
426,Sra. Raquel Costela,09424-278,das Neves,Roraima
427,Dr. Bruno Barbosa,23462402,Cavalcanti de Nascimento,Minas Gerais
428,Henrique da Rocha,55072704,Caldeira de Rodrigues,Maranhão
429,Olivia Castro,21030797,Santos,Acre
430,Maitê Costela,20407559,Rodrigues,Roraima
431,Gabrielly Santos,21850569,Ferreira do Sul,Paraíba
432,Eloah Carvalho,17254440,Lopes Paulista,Tocantins
433,Isis Barbosa,39350984,Silva,Paraíba
434,Anthony Barbosa,45061651,Farias,Piauí
435,Raul Porto,86715-699,Monteiro da Mata,Sergipe
436,Luiz Felipe Pinto,39191568,da Mata,Santa Catarina
437,Júlia Fogaça,02629-718,Nunes da Mata,Bahia
438,Sra. Ana Luiza Pires,96292-066,Mendes,Sergipe
439,Sra. Ana Julia Silveira,24215-934,Cardoso da Prata,Alagoas
440,Benício Sales,95891-995,Castro,Amazonas
441,Henrique Pereira,24149-577,Azevedo do Campo,Distrito Federal
442,Larissa Porto,89870-445,Fogaça Paulista,Alagoas
443,Caio Souza,20462-533,Cardoso das Flores,Roraima
444,Camila Pires,98704257,Campos,Rondônia
445,Yasmin Porto,61325-058,Souza Verde,Rondônia
446,Emanuelly Pinto,84704-582,Teixeira de Minas,Rondônia
447,João Miguel Dias,99063-864,Peixoto de Monteiro,Acre
448,João Felipe Castro,42726631,Melo de da Rocha,Amapá
449,Dr. Antônio Monteiro,26677868,Teixeira do Oeste,Amazonas
450,Rebeca Silveira,53530-957,Azevedo,Minas Gerais
451,Emanuel Dias,57665-709,Nascimento,Bahia
452,Bárbara Monteiro,03264385,Fogaça,Alagoas
